service_type,age,income,documents_uploaded_count,aadhaar_match,address_match,bank_account_valid,certificate_valid,duplicate_application_flag,hospital_record_match,caste_category_valid,decision_reason,approved
birth_certificate,82,155769,2,1,1,1,1,0,1,1,approved,1
birth_certificate,76,140547,5,1,0,0,1,0,1,0,address_mismatch_records,0
caste_certificate,58,139054,1,1,1,1,0,0,1,1,certificate_expired,0
caste_certificate,10,169100,3,1,1,1,1,0,1,1,approved,1
residence_certificate,50,133608,5,1,1,1,1,0,0,1,approved,1
widow_pension,6,114888,5,1,0,0,1,0,0,1,address_mismatch_records,0
caste_certificate,26,285541,1,1,1,0,1,0,0,1,bank_account_inactive,0
birth_certificate,58,229930,4,1,1,1,1,0,1,1,approved,1
widow_pension,36,216098,2,1,1,1,1,0,1,0,income_exceeds_limit,0
widow_pension,4,5108,3,1,0,0,1,0,0,1,address_mismatch_records,0
birth_certificate,61,33718,2,1,1,1,1,0,0,1,hospital_record_not_found,0
caste_certificate,71,107341,3,1,1,1,1,0,1,1,approved,1
birth_certificate,73,40626,4,1,1,1,1,0,1,1,approved,1
widow_pension,89,103158,1,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
old_age_pension,78,42734,5,1,1,1,1,0,0,1,approved,1
old_age_pension,54,196329,3,1,1,1,1,0,0,1,age_not_eligible,0
residence_certificate,15,122619,1,1,1,1,0,0,1,1,certificate_expired,0
birth_certificate,92,111444,3,1,1,1,1,0,1,1,approved,1
birth_certificate,91,100306,3,1,1,1,1,0,1,1,approved,1
residence_certificate,73,88295,5,1,1,1,1,0,1,1,approved,1
residence_certificate,55,186265,1,1,1,1,1,0,0,1,approved,1
residence_certificate,50,87166,2,1,1,0,1,0,0,1,bank_account_inactive,0
widow_pension,67,102524,5,1,1,1,0,0,1,1,certificate_expired,0
birth_certificate,45,259150,2,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
widow_pension,60,188596,2,0,1,1,1,0,0,0,aadhaar_name_mismatch,0
residence_certificate,77,270032,5,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,32,91589,4,1,1,1,1,0,0,1,hospital_record_not_found,0
widow_pension,54,228344,4,1,0,0,1,0,1,1,address_mismatch_records,0
widow_pension,17,179508,5,1,1,1,1,0,1,0,income_exceeds_limit,0
residence_certificate,11,75068,4,0,0,1,1,0,0,1,aadhaar_name_mismatch,0
birth_certificate,73,151603,5,1,1,1,1,0,1,1,approved,1
residence_certificate,20,280771,3,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,77,251587,1,1,1,1,1,0,1,1,suspicious_income_pattern,0
old_age_pension,72,148168,5,1,1,1,1,0,0,1,approved,1
caste_certificate,25,235725,1,0,1,1,1,0,0,1,aadhaar_name_mismatch,0
caste_certificate,78,180905,3,1,1,1,1,0,1,1,approved,1
caste_certificate,20,164426,3,1,1,1,1,0,1,1,approved,1
residence_certificate,21,89266,4,1,0,1,1,0,1,1,address_mismatch_records,0
old_age_pension,54,278891,2,1,1,1,1,0,1,1,age_not_eligible,0
birth_certificate,45,288652,4,1,1,1,1,0,0,1,hospital_record_not_found,0
widow_pension,40,192888,1,0,0,1,1,0,1,1,aadhaar_name_mismatch,0
birth_certificate,4,44604,4,0,1,0,1,0,1,0,aadhaar_name_mismatch,0
widow_pension,43,115785,2,1,1,1,1,0,1,1,approved,1
birth_certificate,15,83040,3,1,1,1,1,0,1,0,approved,1
old_age_pension,34,247734,4,1,0,1,1,0,1,1,address_mismatch_records,0
widow_pension,4,259106,1,1,1,1,1,0,1,1,income_exceeds_limit,0
residence_certificate,61,189005,5,1,0,0,1,0,0,1,address_mismatch_records,0
birth_certificate,89,90959,3,1,0,1,1,0,0,1,address_mismatch_records,0
birth_certificate,25,122141,4,1,1,1,1,0,1,1,approved,1
widow_pension,60,216104,1,0,1,0,1,0,0,1,aadhaar_name_mismatch,0
residence_certificate,50,166849,2,1,1,1,1,0,1,0,approved,1
residence_certificate,68,47601,1,1,1,1,1,1,0,1,duplicate_application_detected,0
old_age_pension,55,92773,1,1,1,1,1,0,1,1,age_not_eligible,0
residence_certificate,49,26375,3,1,1,1,1,0,1,1,approved,1
residence_certificate,35,139138,3,1,0,1,1,0,1,1,address_mismatch_records,0
residence_certificate,23,256212,5,1,1,1,1,0,1,1,suspicious_income_pattern,0
caste_certificate,78,113521,4,1,1,1,1,0,1,1,approved,1
old_age_pension,29,211841,4,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,68,94922,1,0,1,0,1,0,1,1,aadhaar_name_mismatch,0
widow_pension,47,235919,4,1,1,1,1,0,1,1,income_exceeds_limit,0
birth_certificate,21,157279,3,1,1,1,0,0,0,1,certificate_expired,0
old_age_pension,32,245542,3,1,1,1,0,0,1,1,certificate_expired,0
widow_pension,68,182960,4,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
old_age_pension,49,90806,2,1,1,1,1,0,0,1,age_not_eligible,0
residence_certificate,22,270173,4,1,1,1,1,0,1,1,suspicious_income_pattern,0
widow_pension,9,247689,1,1,1,1,1,0,0,1,income_exceeds_limit,0
residence_certificate,35,116286,3,1,1,1,1,0,1,1,approved,1
birth_certificate,16,137753,5,1,1,1,1,0,0,1,hospital_record_not_found,0
birth_certificate,52,154287,3,1,1,1,1,1,1,1,duplicate_application_detected,0
widow_pension,90,261606,5,1,1,1,1,0,1,1,income_exceeds_limit,0
widow_pension,7,162945,4,1,1,1,1,0,1,1,income_exceeds_limit,0
old_age_pension,43,123420,1,1,0,1,1,0,1,1,address_mismatch_records,0
old_age_pension,60,42421,1,0,0,1,1,0,1,1,aadhaar_name_mismatch,0
residence_certificate,5,253087,1,1,1,0,1,0,1,1,bank_account_inactive,0
widow_pension,70,197874,2,1,1,1,1,0,1,1,income_exceeds_limit,0
birth_certificate,89,68773,4,1,1,1,1,0,1,1,approved,1
old_age_pension,80,112115,2,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
old_age_pension,36,117463,5,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,53,216854,2,1,0,1,1,0,1,0,address_mismatch_records,0
old_age_pension,22,221939,1,1,1,1,1,0,1,1,age_not_eligible,0
residence_certificate,90,29517,3,1,1,0,0,0,1,0,ifsc_invalid,0
widow_pension,56,285862,1,1,1,1,1,0,1,1,income_exceeds_limit,0
birth_certificate,50,75380,4,1,1,1,1,0,1,0,approved,1
widow_pension,57,221256,4,1,1,1,1,0,1,1,income_exceeds_limit,0
old_age_pension,18,267564,1,1,1,1,1,0,0,1,age_not_eligible,0
old_age_pension,26,27454,1,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,88,296942,4,1,1,1,1,0,1,1,suspicious_income_pattern,0
residence_certificate,24,294884,2,1,0,1,0,1,1,1,duplicate_application_detected,0
caste_certificate,20,77597,2,1,1,0,1,0,1,1,bank_account_inactive,0
birth_certificate,24,91659,4,1,0,1,1,0,0,1,address_mismatch_records,0
caste_certificate,50,33692,1,1,1,0,0,0,1,0,ifsc_invalid,0
caste_certificate,70,16566,1,1,1,1,1,0,1,1,approved,1
residence_certificate,34,289301,4,0,1,0,1,0,0,1,aadhaar_name_mismatch,0
caste_certificate,69,192237,4,1,1,1,1,0,1,1,approved,1
caste_certificate,49,281494,2,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
residence_certificate,14,227503,4,1,1,1,1,0,1,1,approved,1
caste_certificate,23,78873,1,0,1,1,0,0,1,1,aadhaar_name_mismatch,0
caste_certificate,48,293302,1,1,1,1,0,0,1,1,certificate_expired,0
caste_certificate,67,258791,4,1,1,1,0,0,1,1,certificate_expired,0
birth_certificate,6,247368,5,1,1,1,1,0,0,1,hospital_record_not_found,0
birth_certificate,93,250395,1,1,1,1,0,0,1,1,certificate_expired,0
birth_certificate,80,253390,2,1,1,1,1,0,0,1,hospital_record_not_found,0
residence_certificate,53,101005,5,1,1,1,1,0,1,1,approved,1
old_age_pension,37,252522,5,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
caste_certificate,93,249574,3,1,0,1,1,0,0,1,address_mismatch_records,0
caste_certificate,44,74108,5,1,1,1,1,0,0,1,approved,1
residence_certificate,8,281076,4,1,1,1,1,0,1,1,suspicious_income_pattern,0
caste_certificate,54,185829,3,0,1,1,1,1,1,1,duplicate_application_detected,0
birth_certificate,82,29218,2,1,1,1,1,0,1,1,approved,1
old_age_pension,51,197546,5,1,1,1,1,0,1,1,age_not_eligible,0
widow_pension,76,217363,3,1,1,1,1,0,1,1,income_exceeds_limit,0
caste_certificate,48,267888,1,1,1,1,1,0,1,1,suspicious_income_pattern,0
birth_certificate,54,200759,5,1,1,0,1,0,0,1,ifsc_invalid,0
widow_pension,82,158827,3,1,1,1,1,0,0,1,income_exceeds_limit,0
old_age_pension,69,133122,1,1,1,0,1,0,0,1,bank_account_inactive,0
widow_pension,75,254787,3,1,1,1,1,1,1,1,duplicate_application_detected,0
birth_certificate,78,55357,1,0,1,1,1,0,1,1,aadhaar_name_mismatch,0
widow_pension,2,233320,4,1,1,1,1,0,1,1,income_exceeds_limit,0
residence_certificate,67,247356,1,1,1,1,1,0,1,1,approved,1
widow_pension,37,194233,5,1,1,0,1,0,1,1,bank_account_inactive,0
caste_certificate,69,94629,5,1,1,1,1,0,0,1,approved,1
caste_certificate,48,100090,5,1,1,1,1,0,1,1,approved,1
residence_certificate,91,30165,5,1,1,1,1,0,0,0,approved,1
birth_certificate,7,50984,2,1,1,1,1,0,0,1,hospital_record_not_found,0
caste_certificate,94,245971,5,1,0,1,1,0,1,1,address_mismatch_records,0
old_age_pension,84,163949,5,1,1,1,1,0,1,0,approved,1
caste_certificate,44,2684,3,1,1,1,1,0,1,1,approved,1
caste_certificate,28,203173,2,1,1,1,1,0,1,0,invalid_caste_subcategory,0
birth_certificate,78,145073,2,1,1,1,1,0,0,1,hospital_record_not_found,0
widow_pension,48,189800,5,1,0,1,1,0,1,1,address_mismatch_records,0
caste_certificate,23,5118,3,1,1,1,1,0,1,1,approved,1
residence_certificate,20,56561,3,1,1,1,1,0,1,1,approved,1
widow_pension,22,130411,1,1,1,1,1,0,1,1,income_exceeds_limit,0
old_age_pension,94,95332,3,1,0,1,1,0,1,1,address_mismatch_records,0
birth_certificate,27,97688,3,1,0,1,1,0,0,1,address_mismatch_records,0
old_age_pension,31,86477,1,1,1,1,1,0,1,1,age_not_eligible,0
widow_pension,21,126206,3,1,1,1,1,0,1,1,income_exceeds_limit,0
widow_pension,61,49510,1,1,1,0,1,0,1,1,ifsc_invalid,0
widow_pension,66,237012,3,1,1,1,1,0,1,1,income_exceeds_limit,0
old_age_pension,72,9044,5,1,1,1,1,0,1,1,approved,1
widow_pension,5,259157,2,1,1,1,1,0,1,1,income_exceeds_limit,0
old_age_pension,64,160086,2,1,1,0,1,0,1,1,ifsc_invalid,0
widow_pension,21,81840,5,1,1,0,1,0,1,1,ifsc_invalid,0
residence_certificate,50,244424,3,1,1,1,1,0,0,1,approved,1
widow_pension,67,74609,5,1,1,1,1,1,1,1,duplicate_application_detected,0
old_age_pension,56,109023,2,1,0,1,1,0,0,0,address_mismatch_records,0
caste_certificate,71,29987,2,1,1,0,1,0,0,1,bank_account_inactive,0
widow_pension,54,216302,5,1,1,1,1,0,0,1,income_exceeds_limit,0
caste_certificate,41,251140,3,1,1,1,1,1,1,1,duplicate_application_detected,0
